2026-08-14 18:40:19,406 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: BK"}}}
2026-08-14 18:40:20,942 | ERROR | yfinance | $BK: No data found, symbol may be delisted
2026-08-14 18:40:20,952 | ERROR | yfinance | 
1 Failed download:
2026-08-14 18:40:20,952 | ERROR | yfinance | ['BK']: No data found, symbol may be delisted
2026-08-14 18:40:20,958 | WARNING | stock_pipeline.extract.yahoo_finance | No data returned for BK (attempt 2/3)
2026-08-14 18:40:24,117 | ERROR | yfinance | $BK: No data found, symbol may be delisted
2026-08-14 18:40:24,125 | ERROR | yfinance | 
1 Failed download:
2026-08-14 18:40:24,126 | ERROR | yfinance | ['BK']: No data found, symbol may be delisted
2026-08-14 18:40:24,132 | WARNING | stock_pipeline.extract.yahoo_finance | No data returned for BK (attempt 3/3)
2026-08-14 18:40:24,133 | WARNING | __main__ | Skipping BK because extraction failed.
2026-08-14 18:40:24,134 | INFO | __main__ | Processing CME...
2026-08-14 18:40:24,135 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for CME...
2026-08-14 18:40:25,093 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\CME_stock.csv
2026-08-14 18:40:25,155 | INFO | __main__ | Processing ICE...
2026-08-14 18:40:25,155 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for ICE...
2026-08-14 18:40:25,976 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\ICE_stock.csv
2026-08-14 18:40:26,030 | INFO | __main__ | Processing UNH...
2026-08-14 18:40:26,031 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for UNH...
2026-08-14 18:40:26,902 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\UNH_stock.csv
2026-08-14 18:40:26,946 | INFO | __main__ | Processing JNJ...
2026-08-14 18:40:26,948 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for JNJ...
2026-08-14 18:40:27,921 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\JNJ_stock.csv
2026-08-14 18:40:27,985 | INFO | __main__ | Processing LLY...
2026-08-14 18:40:27,985 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for LLY...
2026-08-14 18:40:29,026 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\LLY_stock.csv
2026-08-14 18:40:29,079 | INFO | __main__ | Processing PFE...
2026-08-14 18:40:29,079 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for PFE...
