Date,Close,High,Low,Open,Volume,Daily_Return,MA5,MA20
2025-09-18,237.20892333984375,240.51954939992544,235.98238232851827,239.29302360434258,44249600,-0.4644562289381149,236.48895568847655,232.6827194213867
2025-09-19,244.80740356445312,245.60514967420656,239.53233423145286,240.54944568604057,163741300,3.2032859968438965,238.76850280761718,233.70981369018554
2025-09-22,255.35755920410156,255.9160073848096,247.42002368458668,247.5995237986898,105517400,4.309573765350105,242.6335662841797,235.12181854248047
2025-09-23,253.7122344970703,256.6140289111009,252.86464151383097,255.15815615601056,60275200,-0.6443219116596399,245.88038330078126,236.48147201538086
2025-09-24,251.59820556640625,255.01853710208397,250.33178410429736,254.49999981420794,42303700,-0.8332388601025364,248.536865234375,237.62822799682618
2025-09-25,256.1453552246094,256.44452717224715,250.99992334214926,252.4956917858775,55202100,1.8073060767529903,252.32415161132812,238.9435073852539
2025-09-26,254.73931884765625,256.87328100426123,253.06405044687503,253.38315498635407,46076300,-0.5489212856193304,254.31053466796874,240.08527755737305
2025-09-29,253.7122344970703,254.28063380560434,252.29624220529692,253.8418726304012,40127700,-0.40319034973952395,253.9814697265625,241.1966339111328
2025-09-30,253.9116668701172,255.1980209495745,252.39595068950493,254.1410137555297,37704300,0.0786057374971394,254.02135620117187,242.43862075805663
2025-10-01,254.72933959960938,258.0599285933123,254.21080232618834,254.32049261064776,48713900,0.32203038937570483,254.6475830078125,243.28522567749025
2025-10-02,256.40460205078125,257.45162766856953,253.43299812845933,255.85613542550084,42630200,0.6576637201686664,254.69943237304688,244.1502784729004
2025-10-03,257.2920837402344,258.5086431914624,253.23357360959045,253.9515436206674,49155600,0.34612549164674267,255.2099853515625,245.06419219970704
2025-10-06,255.96585083007812,258.3391414491699,254.33047806472084,257.2621712100349,44664100,-0.5154581092728927,255.66070861816405,246.00203857421874
2025-10-07,255.7564697265625,256.67385732493904,254.7094135633123,256.08552539236376,31955800,-0.08180040534181421,256.0296691894531,247.10541763305665
2025-10-08,257.33197021484375,257.7906639625656,255.3874592951906,255.7963062732735,36496900,0.6160158880694766,256.5501953125,248.6645065307617
2025-10-09,253.32330322265625,257.27213808351553,252.42584836214985,257.08267167133846,38322000,-1.5577803989301087,255.933935546875,249.86161880493165
2025-10-10,244.57806396484375,255.6567217403356,243.3116425485481,254.2207817432353,61999100,-3.452204809648307,253.39113159179686,250.42003860473633
2025-10-13,246.96131896972656,248.98559082884384,244.86723728717817,248.6764678182016,38142900,0.974435305541288,251.59022521972656,250.96649246215821
2025-10-14,247.07101440429688,248.14796941642882,244.00966795095763,245.90431694508948,35478000,0.04441806313149055,249.85313415527344,251.4461357116699
2025-10-15,248.63658142089844,251.10959602979932,246.77186176083558,248.78616738422895,33893600,0.6336506208048043,248.1140563964844,251.96217498779296
2025-10-16,246.75192260742188,248.33743345063007,244.43847540742667,247.54966879270205,39777000,-0.7579973963228515,246.7997802734375,252.43932495117187
2025-10-17,251.57826232910156,252.66519891282977,246.57243512001992,247.32031930793073,49147000,1.9559481728368633,248.19981994628907,252.7778678894043
2025-10-20,261.5001525878906,263.6341297765207,254.90881548292631,255.16807648712648,90483000,3.9438583313727404,251.1075866699219,253.08499755859376
2025-10-21,262.0286865234375,264.5415968076956,261.0913359303388,261.141213133835,46695900,0.20211610980580552,254.09912109375,253.5008201599121
2025-10-22,257.72088623046875,262.1084670888602,254.70938662410154,261.9090191460537,45015300,-1.6440185806081309,255.91598205566407,253.80695419311525
2025-10-23,258.84771728515625,259.88479198943105,257.2821693476752,259.20671755765045,32754900,0.4372292332100125,258.33514099121095,253.94207229614258
2025-10-24,262.07855224609375,263.3848541030092,258.44880663072195,260.4531458541269,38253700,1.2481604994716955,260.43519897460936,254.30903396606445
2025-10-27,268.0516357421875,268.3607587413759,263.9033682058253,264.13273028939324,44888200,2.279119540650165,261.74549560546876,255.0260040283203
2025-10-28,268.2410888671875,269.12859257872884,267.39348082722177,268.23110734142335,41534800,0.07067784700340862,262.98797607421875,255.74247512817382
2025-10-29,268.93914794921875,270.6443152614699,266.35642794866993,268.5203194424725,51086700,0.26023570250897077,265.23162841796875,256.4529655456543
2025-10-30,270.63433837890625,273.36662916750566,267.72259312931254,271.2226702585742,69886500,0.6303249053230431,267.5889526367188,257.16445236206056
2025-10-31,269.60723876953125,276.53764389728985,268.4006608909581,276.2085578376442,86167100,-0.37951562818203666,269.0946899414063,257.7802101135254
2025-11-03,268.2909851074219,270.08592548154905,265.4988962118729,269.6571458353552,50194600,-0.4882115436205092,269.14255981445314,258.3964668273926
2025-11-04,269.2781982421875,270.72408938596277,266.86501191822913,267.5730004152706,49274800,0.36796358788213634,269.3499816894531,259.07255325317385
2025-11-05,269.3778991699219,270.93349568379296,266.17693326929896,267.8521863717013,43683100,0.037025250608935245,269.43773193359374,259.6748497009277
2025-11-06,269.0089416503906,272.6287059365568,267.1342708755924,267.1342708755924,51204000,-0.13696651457605347,269.11265258789064,260.45913162231443
2025-11-07,267.7126159667969,271.5218466038475,266.0173996929098,269.03885049148494,48227400,-0.4818894404181151,268.7337280273438,261.6158592224121
2025-11-10,268.9303283691406,273.2223721938244,266.9639805623884,268.46119877683986,41312400,0.4548580566314353,268.8615966796875,262.7143096923828
2025-11-11,274.73956298828125,275.3983427074405,269.2996575494418,269.3096487524697,46208300,2.1601262506795837,269.95386962890626,264.09773712158204
2025-11-12,272.962890625,275.2187095291286,271.19618380015726,274.49005224267427,48398000,-0.6466751071293797,270.6708679199219,265.3140525817871
2025-11-13,272.4438171386719,276.1868626363035,271.58539619817094,273.6016390736082,49602800,-0.1901626573266424,271.35784301757815,266.5986473083496
2025-11-14,271.90484619140625,275.4482508823214,269.10005949599775,270.5473523374902,47431300,-0.1978282909578022,272.1962890625,267.61497650146487
2025-11-17,266.9639892578125,269.98836893107386,265.237217022597,268.3214829895084,45018300,-1.817127205638569,271.8030212402344,267.88816833496094
2025-11-18,266.94403076171875,270.20795552947055,264.8279672087311,269.48928956232544,45677300,-0.007476100484282711,270.24391479492186,268.133935546875
2025-11-19,268.0619812011719,271.70520656667077,265.0076580872151,265.0376012369211,40424500,0.41879581883252914,269.26373291015625,268.65099029541017
2025-11-20,265.7562561035156,274.91922505965954,265.42688147061517,270.327749378444,45823600,-0.8601462569680418,267.926220703125,268.9964172363281
2025-11-21,270.98651123046875,272.8230952896135,265.17732758833057,265.4568071090486,59030800,1.9680647235321702,267.7425537109375,269.4418151855469
2025-11-24,275.4083557128906,276.48633959077114,270.397645153795,270.397645153795,65585800,1.6317581500066458,269.4314270019531,269.80965118408204
2025-11-25,276.45635986328125,279.8600396675645,274.7395483878858,274.75950033189645,46914200,0.38052736187974556,271.3338928222656,270.22041473388674
2025-11-26,277.0353088378906,279.0116481613461,276.11703191175064,276.4464065684995,33431400,0.20941785347086128,273.12855834960936,270.62522277832034
2025-11-28,278.3328857421875,278.4826014787427,275.4781737009374,276.7458380127342,20135600,0.46837961187689015,275.6438842773438,271.01015014648436
2025-12-01,282.57501220703125,282.89442609469603,275.62792768573877,277.4944549964911,46587700,1.524119743713337,277.9615844726562,271.6585388183594
2025-12-02,285.6592712402344,286.86701880065203,282.10587559562896,282.47518456741903,53669500,1.0914832876105063,280.011767578125,272.526953125
2025-12-03,283.623046875,288.0847586222564,282.77461708045536,285.6692634925469,43538700,-0.7128157809805358,281.4451049804687,273.24419555664065
2025-12-04,280.179443359375,284.20196835267484,278.07334059490756,283.5731318378766,43989100,-1.2141479874668626,282.0739318847656,273.7842727661133
